"andy_txn@CBSNews GOPTPer's response to Flynn is the 3 monkey rule .",,"",""
"salmannazeer11RT @CBSNews: ""I think that they will find exactly what [Pres. Trump] first believed,"" Spicer on potential investigation of Flynn... ",,"",""
"nninety@NBCNews @PressSec your crazy spicey",,"",""
"mradt46@SenWarren @StateDept @CommerceGov
How could hideous Trump & his flock govern US if he lies about Putin & Russia?

.","positive","",""
"stevekovachRT @ZekeJMiller: Conway this AM on Flynn: ""He knew he had become a lightening rod and he made that decision” Spicer this PM: POTUS asked fo...","positive","",""
"lstoll3902RT @SenWarren: This. Is. Not. Normal. @realDonaldTrump owes Americans a full account of his Admin's dealings with Russia, both before & aft...","positive","",""
"PlibbyPlob@guardian Maybe they're just telling people what they want them to see.","positive","",""
"DuttoEmanueleRT @guardian: These women were sterilised without consent more than 18 years ago. Follow their fight for justice:... ","positive","",""
"AnnieBJackson@SenWarren Pocahontas needs to get off her high CRAZYHorse @TheMarkRomano .","positive","",""
"InekeWeijerRT @BBCWorld: Russia ruffled .","negative","",""
"trotta_marloRT @SenWarren: Congress must pull its head out of the sand and launch a real, bipartisan, transparent inquiry into Russia. Our natl securit...","negative","",""
"knarfetnelav@SenJohnMcCain @nytimes Russia and China are no threat except in your evil addled mind u NEOCON BASTARD!","positive","",""
"GaisericVandal@guardian Diana Abbott IS a racist. .","negative","",""
"ericlewis0RT @SenWarren: Congress must pull its head out of the sand and launch a real, bipartisan, transparent inquiry into Russia. Our natl securit...","positive","",""
"LaChinchRT @HallieJackson: ""No, absolutely not"" says Sean Spicer, when asked if @POTUS instructed Flynn to talk about sanctions with Russian ambass...","positive","",""
"_fEMMAnistRT @SenWarren: But American national security demands that we not allow Michael Flynn to become a scapegoat for this Admin's disturbing tie...","positive","",""
"pttsbrghprncss8RT @BBCWorld: ""Are you using your device, or is your device using you?"" 	"" Denzel Washington on #fakenews .","positive","",""
"blaiseKDLTRT @NBCNews: American Girl is releasing its first boy doll .","negative","",""
"trotta_marloRT @SenWarren: When did @WhiteHouse know that Flynn lied? What other contacts with Russia occurred during the campaign? Who knew what? Who...","positive","",""
"RiseRallyResistRT @SenWarren: This. Is. Not. Normal. @realDonaldTrump owes Americans a full account of his Admin's dealings with Russia, both before & aft...","positive","",""
"quello15RT @BBCWorld: Flying solo: ""Auto	""piloted"""" passenger drone to begin """"regular operations"""" in Dubai from July","negative","",""
"GlambertStanRT @SenWarren: Reports say our own intel agencies have corroborated parts of a dossier alleging that Russia has compromising info about @re...","negative","",""
"justice_logicRT @NBCNews: ""Do you hear the silence?""
Rep. Cummings criticizes House GOP for ""conducting no oversight of President Trump"" .","negative","",""
"McGregor40RT @SenWarren: When did @WhiteHouse know that Flynn lied? What other contacts with Russia occurred during the campaign? Who knew what? Who...","positive","",""
"trotta_marloRT @SenWarren: This. Is. Not. Normal. @realDonaldTrump owes Americans a full account of his Admin's dealings with Russia, both before & aft...","positive","",""
"JimmyGiordano5@SenJohnMcCain king of the rhino machine you should be ashamed of yourself you phoney","negative","",""
"thekevinroweRT @SenJohnMcCain: Must	""read @nytimes: """"Russian Cruise Missile","positive"," Violates Treaty"," Officials Say"""" ."
"salmannazeer11RT @CBSNews: Michael Flynn's timeline, from traveling to Russia months before the election through his recent resignation... ","negative","",""
"A_ToniJRT @NBCNews: ""Do you hear the silence?""
Rep. Cummings criticizes House GOP for ""conducting no oversight of President Trump"" .","positive","",""
"sahlee426RT @SenWarren: .@StateDept Sec Rex Tillerson has close ties to Putin. @CommerceGov nominee Wilbur Ross has close financial ties to Putin bu...","positive","",""
"TheRogue_Elf@NBCNews @TODAYshow Anyone else thinking they need to remake the movie Chucky and use this doll?","negative","",""
"xring59RT @SenWarren: Congress must pull its head out of the sand and launch a real, bipartisan, transparent inquiry into Russia. Our natl securit...","positive","",""
"AtheneGreyOwlRT @SenWarren: This. Is. Not. Normal. @realDonaldTrump owes Americans a full account of his Admin's dealings with Russia, both before & aft...","positive","",""
"GlambertStanRT @SenWarren: This isn't a game. Reports say the Russians conducted a series of successful cyber	""attacks on our elections to help elect @r...""","negative","",""
"patkoleRT @SenWarren: When did @WhiteHouse know that Flynn lied? What other contacts with Russia occurred during the campaign? Who knew what? Who...","negative","",""
"GrAnnHaleyRT @SenWarren: Michael Flynn's blinding religious hatred & shady Russian ties disqualified him as NSA on day one. His removal is a win for...","negative","",""
"bosticsciRT @CBSNews: More than 700 threatened and endangered animal species may be directly affected by climate change, study finds... ","positive","",""
"daveeno27@NBCNews @TODAYshow My Buddy was the first boy doll back in the early 90s","positive","",""
"SaloSusanRT @BBCWorld: Has @POTUS Donald Trump finally met his (handshake) match in Canadian PM @JustinTrudeau? 🇺🇸 🇨🇦 .","positive","",""
"LINDALOPIZZO@SenWarren @realDonaldTrump he is such ch a liar how would we know under oath he'll lie.....must see taxes and transscripts","negative","",""
"JessikaVochtRT @SenWarren: Congress must pull its head out of the sand and launch a real, bipartisan, transparent inquiry into Russia. Our natl securit...","positive","",""
"wkeith1964@guardian tiny piece of grey matter","negative","",""
"hblodgetRT @jbarro: Someone should ask Spicer whether Flynn misled the president 	""""	"" and if he didn't","negative","",""
